Experiment,Epochs,Batch Size,Learning Rate,Warmup Steps,Loss Function,MRR,nDCG,Precision@1,Time(s)
1,3,8,1e-05,50,MultipleNegativesRankingLoss,0.6848296957671957,0.7599381071825823,0.5625,17.26850700378418
2,3,8,1e-05,50,CosineSimilarityLoss,0.5419700091575091,0.6474485540141662,0.375,19.62612509727478
3,3,8,1e-05,100,MultipleNegativesRankingLoss,0.6769593253968255,0.7549048146853844,0.5208333333333334,15.223806381225586
4,3,8,1e-05,100,CosineSimilarityLoss,0.5432955354830354,0.648832980543375,0.375,14.826468229293823
5,3,8,1e-05,200,MultipleNegativesRankingLoss,0.6280919312169312,0.7170359535763661,0.4583333333333333,19.25394344329834
6,3,8,1e-05,200,CosineSimilarityLoss,0.5504892676767676,0.654150951653719,0.3958333333333333,18.470659732818604
7,3,8,2e-05,50,MultipleNegativesRankingLoss,0.7073164682539682,0.7780795507133007,0.5625,18.534952402114868
8,3,8,2e-05,50,CosineSimilarityLoss,0.5196083515476898,0.6308970746273795,0.3333333333333333,17.379427194595337
9,3,8,2e-05,100,MultipleNegativesRankingLoss,0.6746775793650793,0.753292099883159,0.5208333333333334,18.008775234222412
10,3,8,2e-05,100,CosineSimilarityLoss,0.5473641894597777,0.6516930457825462,0.375,17.43811297416687
11,3,8,2e-05,200,MultipleNegativesRankingLoss,0.6769593253968255,0.7549048146853844,0.5208333333333334,17.831148862838745
12,3,8,2e-05,200,CosineSimilarityLoss,0.5432955354830354,0.648832980543375,0.375,16.885145664215088
13,3,8,5e-05,50,MultipleNegativesRankingLoss,0.6797275641025641,0.758252120266358,0.5,17.09820532798767
14,3,8,5e-05,50,CosineSimilarityLoss,0.5106743746449629,0.6227946452175578,0.3333333333333333,18.31972336769104
15,3,8,5e-05,100,MultipleNegativesRankingLoss,0.7036541005291005,0.7754551197091738,0.5416666666666666,16.666203498840332
16,3,8,5e-05,100,CosineSimilarityLoss,0.5249312319624819,0.6341369592895111,0.3541666666666667,15.130154371261597
17,3,8,5e-05,200,MultipleNegativesRankingLoss,0.6941220238095238,0.7682624608278275,0.5416666666666666,18.084605932235718
18,3,8,5e-05,200,CosineSimilarityLoss,0.5406434796140679,0.6468875684464971,0.3541666666666667,18.187259674072266
19,3,16,1e-05,50,MultipleNegativesRankingLoss,0.6613921957671958,0.7428148568918308,0.5,16.259369373321533
20,3,16,1e-05,50,CosineSimilarityLoss,0.5478252072002072,0.6516868441055218,0.3958333333333333,16.182562589645386
21,3,16,1e-05,100,MultipleNegativesRankingLoss,0.6172949735449735,0.7080116961151361,0.4583333333333333,14.986538410186768
22,3,16,1e-05,100,CosineSimilarityLoss,0.5495798761423761,0.6538441274315119,0.3958333333333333,14.885621070861816
23,3,16,1e-05,200,MultipleNegativesRankingLoss,0.5969509078884079,0.6924059030910333,0.4375,14.889697313308716
24,3,16,1e-05,200,CosineSimilarityLoss,0.5362433862433863,0.6447691122690836,0.3541666666666667,12.667338371276855
25,3,16,2e-05,50,MultipleNegativesRankingLoss,0.6779761904761905,0.7560385620842377,0.5208333333333334,15.244331121444702
26,3,16,2e-05,50,CosineSimilarityLoss,0.5392431064306064,0.6455805692821741,0.375,12.643828868865967
27,3,16,2e-05,100,MultipleNegativesRankingLoss,0.6613921957671958,0.7428148568918308,0.5,15.101546287536621
28,3,16,2e-05,100,CosineSimilarityLoss,0.5478252072002072,0.6516868441055218,0.3958333333333333,14.421136617660522
29,3,16,2e-05,200,MultipleNegativesRankingLoss,0.6172949735449735,0.7080116961151361,0.4583333333333333,14.66288709640503
30,3,16,2e-05,200,CosineSimilarityLoss,0.5495798761423761,0.6538441274315119,0.3958333333333333,12.690449237823486
31,3,16,5e-05,50,MultipleNegativesRankingLoss,0.6806134259259259,0.7571482757727305,0.5416666666666666,12.88491702079773
32,3,16,5e-05,50,CosineSimilarityLoss,0.5002168923124806,0.6142920351897677,0.3333333333333333,13.656822919845581
33,3,16,5e-05,100,MultipleNegativesRankingLoss,0.6876074735449736,0.7629502601921558,0.5416666666666666,15.144961833953857
34,3,16,5e-05,100,CosineSimilarityLoss,0.5410286557804941,0.6466233590617776,0.375,14.979166269302368
35,3,16,5e-05,200,MultipleNegativesRankingLoss,0.6603174603174603,0.7423115850736698,0.5,14.032971858978271
36,3,16,5e-05,200,CosineSimilarityLoss,0.5441207519332519,0.648755744099617,0.3958333333333333,12.74088740348816
37,4,8,1e-05,50,MultipleNegativesRankingLoss,0.6854414682539683,0.7611841956774393,0.5416666666666666,18.976588487625122
38,4,8,1e-05,50,CosineSimilarityLoss,0.550997786935287,0.6550084011008342,0.375,25.151225328445435
39,4,8,1e-05,100,MultipleNegativesRankingLoss,0.6510085978835979,0.7356126960366964,0.4791666666666667,18.671061515808105
40,4,8,1e-05,100,CosineSimilarityLoss,0.5453608312983312,0.6504456953456005,0.375,18.757400274276733
41,4,8,1e-05,200,MultipleNegativesRankingLoss,0.6498181216931217,0.7333214494089285,0.5,18.928654193878174
